SEASON,TOTAL_VENUES
2015,13
2017,11
2009,8
2026,10
2020/21,3
2009/10,13
2019,9
2012,12
2023,12
2022,6
2016,11
2007/08,9
2021,7
2018,10
2024,13
2011,12
2013,13
2025,14
2014,13
